accuracy,precision,recall,f1_score,model
0.825,0.8507575757575758,0.825,0.8237179487179487,SVM
0.875,0.8818750000000002,0.875,0.8754200542005419,SVM
0.8,0.8191964285714285,0.8,0.8012406015037594,FinBERT
0.825,0.8431249999999999,0.825,0.8293052475979306,FinBERT
0.9,0.9055555555555556,0.9,0.9003095975232199,FinBERT
0.925,0.9268750000000001,0.925,0.9252950432730135,FinBERT
0.925,0.9266911764705881,0.925,0.9252217294900221,FinBERT
0.875,0.8770308123249301,0.875,0.8754404510218464,FinBERT
0.85,0.866060606060606,0.85,0.8486764705882353,FinBERT
0.85,0.85,0.85,0.85,FinBERT
0.925,0.9305714285714284,0.925,0.9239490668062096,FinBERT
0.825,0.8302287581699346,0.825,0.8252450980392156,FinBERT
0.925,0.9283333333333333,0.925,0.9251567398119123,FinBERT
0.85,0.8720588235294118,0.85,0.8607142857142858,FinBERT
0.825,0.8346052631578947,0.825,0.8250910674691163,FinBERT
0.875,0.8981481481481481,0.875,0.8664965986394557,FinBERT
0.85,0.853641456582633,0.85,0.8495833333333334,FinBERT
0.775,0.774702380952381,0.775,0.7723543123543124,FinBERT
0.85,0.8513333333333334,0.85,0.8484375,FinBERT
0.925,0.9272727272727274,0.925,0.9247357293868921,FinBERT
0.9,0.9038095238095238,0.9,0.899375,FinBERT
0.925,0.9278508771929823,0.925,0.9251748251748253,FinBERT
0.925,0.9262727272727271,0.925,0.9248599439775911,FinBERT
0.85,0.8526973684210526,0.85,0.8486663133721958,FinBERT
0.85,0.85,0.85,0.85,FinBERT
0.9,0.9,0.9,0.9,FinBERT
0.95,0.95,0.95,0.95,FinBERT
0.85,0.8510033444816054,0.85,0.848051948051948,FinBERT
0.775,0.8132440476190477,0.775,0.7746010031919744,FinBERT
0.9,0.9051633986928106,0.9,0.8998936735778841,FinBERT
0.875,0.8855882352941176,0.875,0.875,FinBERT
0.825,0.8295454545454547,0.825,0.8256459948320414,FinBERT
0.825,0.8524242424242423,0.825,0.8256087050204698,FinBERT Tuned
0.825,0.8629166666666667,0.825,0.8358122822299652,FinBERT Tuned
0.875,0.9047619047619048,0.875,0.8745173745173744,FinBERT Tuned
0.875,0.8771875000000001,0.875,0.8754917387883555,FinBERT Tuned
0.95,0.95,0.95,0.95,FinBERT Tuned
0.875,0.874927536231884,0.875,0.8743727598566308,FinBERT Tuned
0.825,0.8334821428571428,0.825,0.8242307692307692,FinBERT Tuned
0.85,0.8492424242424242,0.85,0.8470108695652174,FinBERT Tuned
0.9,0.9125,0.9,0.9007936507936508,FinBERT Tuned
0.825,0.8300000000000001,0.825,0.826392961876833,FinBERT Tuned
0.875,0.875,0.875,0.875,FinBERT Tuned
0.85,0.896875,0.85,0.8720588235294118,FinBERT Tuned
0.875,0.8767857142857143,0.875,0.8746828752642706,FinBERT Tuned
0.825,0.8569444444444445,0.825,0.8125649350649351,FinBERT Tuned
0.85,0.865072463768116,0.85,0.8483193277310924,FinBERT Tuned
0.75,0.7511446886446886,0.75,0.745748432601881,FinBERT Tuned
0.875,0.8768939393939394,0.875,0.8753968253968253,FinBERT Tuned
0.925,0.9272727272727274,0.925,0.9247357293868921,FinBERT Tuned
0.85,0.8640468227424749,0.85,0.8471428571428572,FinBERT Tuned
0.95,0.9557291666666666,0.95,0.950223799969131,FinBERT Tuned
